id,tipo,estado,entrada,salida,latitude,longitude
1,vehicular,FALSE,TRUE,TRUE,-78.50329761,-0.202447775
2,vehicular,TRUE,TRUE,TRUE,-78.5062962,-0.202414987
3,vehicular,TRUE,TRUE,TRUE,-78.50691178,-0.202149503
4,vehicular,FALSE,TRUE,TRUE,-78.50806891,-0.201468342
5,vehicular,TRUE,TRUE,TRUE,-78.50846449,-0.201406995
6,vehicular,TRUE,TRUE,TRUE,-78.51102175,-0.199176034
7,vehicular,TRUE,TRUE,TRUE,-78.50835898,-0.198107225
8,vehicular,TRUE,TRUE,TRUE,-78.50616108,-0.197430295
9,vehicular,TRUE,TRUE,TRUE,-78.50224969,-0.197747606
10,vehicular,TRUE,TRUE,TRUE,-78.50156218,-0.197371063
11,vehicular,FALSE,TRUE,TRUE,-78.50119199,-0.200571674
12,peatonal,TRUE,TRUE,TRUE,-78.5015405,-0.201385048
13,peatonal,FALSE,TRUE,TRUE,-78.50688904,-0.202159816
14,peatonal,TRUE,TRUE,TRUE,-78.50745306,-0.201791206
15,peatonal,TRUE,TRUE,TRUE,-78.50844201,-0.201381875
16,peatonal,TRUE,TRUE,TRUE,-78.51103392,-0.199203535
17,peatonal,TRUE,TRUE,TRUE,-78.50614534,-0.197436641
18,peatonal,TRUE,TRUE,TRUE,-78.5041242,-0.197248105
19,peatonal,TRUE,TRUE,TRUE,-78.50221399,-0.197769289
20,peatonal,TRUE,TRUE,FALSE,-78.50187447,-0.197301784
21,peatonal,TRUE,TRUE,TRUE,-78.5006396,-0.198970311
22,peatonal,FALSE,TRUE,TRUE,-78.50092306,-0.199851907
23,peatonal,FALSE,TRUE,TRUE,-78.5009466,-0.199883109
